dataset_name,url,source_region,source_platform,label_format,collection,notes,durum_bizde,rol,gerekce,bizde_kaynak_adi
TSB-UAD - IOPS / AIOps KPI,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,58 time series in published benchmark table,Sadece değerlendirme,benchmark,Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - KDD21 / UCR anomaly archive,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,250 time series in published benchmark table,Kullanılıyor,benchmark,UCR olarak zaten değerlendirmede,
TSB-UAD - MGAB,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,10 time series in published benchmark table,Sadece değerlendirme,benchmark,Sentetik kaotik seri (Mackey-Glass); Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - NAB,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,58 time series in published benchmark table,Kullanılıyor,benchmark,NAB olarak zaten değerlendirmede,
TSB-UAD - SensorScope,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,23 time series in published benchmark table,Sadece değerlendirme,benchmark,Çevre sensörü; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - Yahoo S5,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,367 time series in published benchmark table,Sadece değerlendirme,benchmark,Araştırma lisansı; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - NASA MSL,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,27 time series in published benchmark table,Kullanılıyor,benchmark,MSL olarak zaten değerlendirmede,
TSB-UAD - NASA SMAP,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,54 time series in published benchmark table,Kullanılıyor,benchmark,SMAP olarak zaten değerlendirmede,
TSB-UAD - Daphnet,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,45 time series in published benchmark table,Sadece değerlendirme,benchmark,Yürüme donması (giyilebilir); Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - GHL,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,126 time series in published benchmark table,Sadece değerlendirme,benchmark,Gaz ısıtma döngüsü; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - Genesis,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,6 time series in published benchmark table,Sadece değerlendirme,benchmark,Pnömatik montaj demonstratörü; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - MITDB,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,32 time series in published benchmark table,Kullanılıyor,eğitim,MIT-BIH bizde EĞİTİMDE (PhysioNet'ten). Resmi TSB-AD gönderiminde çıkarılmalı,mitbih
TSB-UAD - OPPORTUNITY / OPP,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,465 time series in published benchmark table,Sadece değerlendirme,benchmark,Aktivite tanıma; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
TSB-UAD - Occupancy,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,10 time series in published benchmark table,Kullanılıyor,eğitim,UCI Occupancy bizde EĞİTİMDE (etiketsiz arka plan). TSB-UAD değerlendirmesinde kullanılacaksa çıkarılmalı,uci
TSB-UAD - SMD,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,281 time series in published benchmark table,Kullanılıyor,benchmark,SMD olarak zaten değerlendirmede,
TSB-UAD - SVDB,https://www.thedatum.org/datasets/TSB-UAD-Public-v2.zip,Global,GitHub/Web,Binary 0/1 labels,TSB-UAD Public v2,115 time series in published benchmark table,Sadece değerlendirme,benchmark,EKG; Benchmark ailesinde (TSB-AD/TSB-UAD/TimeEval/mTSBench); eğitime girerse ölçüm geçersiz olur,
KDD21 / UCR Anomaly Series 001,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 002,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 003,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 004,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 005,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 006,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 007,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 008,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 009,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 010,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 011,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 012,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 013,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 014,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 015,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 016,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 017,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 018,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 019,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 020,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 021,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 022,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 023,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 024,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 025,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 026,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 027,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 028,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 029,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 030,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 031,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 032,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 033,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 034,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 035,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 036,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 037,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 038,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 039,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 040,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 041,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 042,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 043,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 044,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 045,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 046,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 047,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 048,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 049,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 050,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 051,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 052,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 053,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 054,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 055,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 056,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 057,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 058,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 059,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 060,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
KDD21 / UCR Anomaly Series 061,https://www.thedatum.org/datasets/TSB-AD-U.zip,Global,GitHub/Web,Normalized CSV Label column (0/1),KDD21/UCR via TSB-AD-U,Independent labeled time series,Kullanılıyor,benchmark,"UCR arşivinin serisi; ucr / ucr_fizyo* olarak değerlendirmede, eğitime girmez",ucr
